id,pali,class_source,class_sutta,class_example,english_translation
2597,attha,SN 22.1 (simpl),sāriputtasuttaṃ,sādhu āyasmantaṃ sāriputtaṃ paṭibhātu etassa bhāsitassa <b>attho</b>,It would be good if the meaning of this statement may become evident to Venerable Sāriputta. (so that he could explain it to us)
5326,anussarati,AN 3.71 (simpl),tiṇasuttaṃ,sāvako dhammaṃ <b>anussarati</b>,The disciple recollects the Dhamma.
8292,abhivaḍḍhati,AN 3.79,kusalādhammasuttaṃ,kusalā dhammā <b>abhivaḍḍhanti</b>,Wholesome states of mind increase more and more.
11370,ājānāti 1,MN 43,mahāvedallasuttaṃ,āyasmato sāriputtassa bhāsitaṃ evaṃ <b>ājānāma</b>,We understand the statement of venerable Sāriputta thus.
11718,ānanda,MN 104 (simpl),āneñjasappāyasuttaṃ,"passatha, <b>ānanda</b>, vacanassa pathaṃ","You see, Ānanda, a course of speech"
11874,āpatti 2,VIN,āpatti 2,passasi taṃ <b>āpattiṃ</b>,You see that offence.
12076,āmantayati,DN 19.7 (simpl),mahāgovindasuttaṃ,rājā jotipālaṃ māṇavaṃ <b>āmantayati</b>,"The king addresses the young gentleman (brahmin), Protector of the Light (Jotipāla)."
15144,uddesa 1,MN 133 (simpl),mahākaccānasuttavaṇṇanā,"dhārehi, bhikkhu, <b>uddesaṃ</b> ca vibhaṅgaṃ ca","Remember, monk, the summary and the analysis."
16108,upasama,SN 56.11 (simpl),paṭipadāsuttaṃ,paṭipadā <b>upasamāya</b> sambodhāya nibbānāya saṃvattati,"The path of practice is conducive for calmness, full awakening [and] total emancipation."
16535,uppajjati,SN 41.3,cūḷasīhanādasuttaṃ,"gahapati, pucchasi — “... diṭṭhiyo loke <b>uppajjanti</b>…","You ask, householder: '...views arise in the world...'"
20568,karohi,MN 36,cūḷasaccakasuttaṃ,"taṃ suṇāhi, sādhukaṃ manasi <b>karohi</b>, bhāsissāmi","Listen to that, pay attention, I will speak."
