id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation
1064,acchādeti 1.1,acchādessati,VIN PAT NP 10,unknown,"yaṃ kho, bhante, āyasmā veyyāvaccakaraṃ niddisi, saññatto so mayā, upasaṅkamatu āyasmā kālena, cīvarena taṃ <b>acchādessati</b>","Indeed, venerable sir, the steward whom the venerable one has indicated has been instructed by me; let the venerable one approach him at a suitable time; he will clothe you with a robe."
1225,ajja,ajja,MN 131 (simpl),unknown,"<b>ajja</b> eva ātappaṃ karohi, ko jānāti maraṇaṃ suve",Just make an effort today; who knows [if] death [is] tomorrow?
1536,aññatra 2,,,,,
2737,atthi 1.2,atthi,SNP 9,unknown,"ye keci pāṇabhūtā <b>atthi</b>, tasā vā thāvarā vā anavasesā","Whatever living beings there are, whether moving or not moving without exception."
2794,atha 1,atha,DN 16.7,unknown,<b>atha</b> kho āyasmato ānandassa etad’ahosi,"Then, this [thought] occurred to Venerable Ananda"
2825,atho,atho,SN 7.15 (simpl),unknown,"mātari pitari ca, <b>atho</b> jeṭṭhamhi bhātari. ācariye ca, tesu na mānaṃ karohi.","Towards mother and father, and after that, towards the eldest brother; and towards the teacher. Do not show conceit towards them."
3145,adhigacchati 1,adhigacchati,AN 5.37,unknown,sukhassa dātā medhāvī sukhaṃ so <b>adhigacchati</b>,"The intelligent man [who is] a giver of happiness, acquires happiness."
3544,anatta 1,anattā,DHP 277,unknown,"sabbe dhammā <b>anattā</b> iti, yadā paññāya passati, atha nibbindati dukkhe – esa maggo visuddhiyā","""All things are non-self."" When one sees [this] with wisdom, then one is disenchanted with suffering. This is the path for purification."
3872,anavasesa 1,anavasesā,SNP 9,unknown,"ye keci pāṇabhūtā atthi, tasā vā thāvarā vā <b>anavasesā</b>","Whatever living beings there are, whether moving or not moving without exception."
4127,anicca 1,aniccaṃ,MN 147,unknown,"taṃ kiṃ maññasi, rāhula, cakkhu niccaṃ vā <b>aniccaṃ</b> vā'ti","What do you think, Rāhula, “Is the eye permanent or impermanent?”"
5680,antaraghara 1,antaraghare,VIN PAT SK 18 (simpl),unknown,na bāhuṃ pacālakaṃ <b>antaraghare</b> nisīdissāmi,I will not sit in an inhabited area swinging [my] arm[s].
6447,aparihāna,aparihānāya,AN 8.79,unknown,ime bhikkhave dhammā sekhassa bhikkhuno <b>aparihānāya</b> saṃvattanti.,"These things, o monks, are conducive for the non-decline of a monk who is a trainee."
7057,appavārita,appavārito,VIN PAT NP 8 simpl,unknown,"ce so bhikkhu, pubbe <b>appavārito</b>, upasaṅkamissati cīvare vikappaṃ āpajjissati","If that monk, previously uninvited, approaches [there], causes an alteration in a robe…"
8014,abhibhū 1,sabbābhibhuṃ,SN 21.10 (simpl),unknown,"[One who is] <b>sabbābhibhuṃ</b>, all-knowing, wise, that man I call thus, “one who dwells alone.”","[One who is] all-conquering, all-knowing, wise, that man I call thus, “one who dwells alone.”"
8847,araññagata 1,araññagato,MN 118,unknown,bhikkhu <b>araññagato</b> vā rukkhamūlagato vā suññāgāragato vā nisīdati.,"A monk, gone to the forest or to the foot of a tree or to an empty dwelling, sits down."
10106,assutavant,assutavā,MN 2.2,unknown,"bhikkhave, <b>assutavā</b> puthujjano na parimuccati jātiyā","Monks, an unlearned common person is not liberated from birth."
10198,avacuttha,avacuttha,VIN 1.2.12,unknown,“mā maṃ āyasmanto kiñci <b>avacuttha</b> kalyāṇaṃ vā pāpakaṃ vā”,"Venerables, don’t say anything to me, good or bad!"
10394,avasissati,avasissatu,SN 12.22,unknown,"taco ca nahāru ca aṭṭhi ca <b>avasissatu</b>, sarīre upasussatu maṃsalohitaṃ","Let [my] skin, sinew, and bone remain, let [my] flesh and blood dry up in [my] body."
11178,āgantar 2,āgantāro,AN 4.171,unknown,sattā tamhā kāyā cutā āgāmino honti <b>āgantāro</b> itthattaṃ,"Living beings [who] have passed away from that group are returners, who come back to this existence."
11229,āgāmī 1,āgāmino,AN 4.171,unknown,sattā tamhā kāyā cutā <b>āgāmino</b> honti āgantāro itthattaṃ,"Living beings [who] have passed away from that group are returners, who come back to this existence."
11459,ātappa,ātappaṃ,MN 131 (simpl),unknown,"ajja eva <b>ātappaṃ</b> karohi, ko jānāti maraṇaṃ suve",Just make an effort today; who knows [if] death [is] tomorrow?
11839,āpajjati 5,āpajjissati,VIN PAT NP 8 simpl,unknown,"ce so bhikkhu, pubbe appavārito, upasaṅkamissati cīvare vikappaṃ <b>āpajjissati</b>","If that monk, previously uninvited, approaches [there], causes an alteration in a robe…"
12241,āyasmant 1,āyasmanto,VIN 1.2.12,unknown,“mā maṃ <b>āyasmanto</b> kiñci avacuttha kalyāṇaṃ vā pāpakaṃ vā”,"Venerables, don’t say anything to me, good or bad!"
13466,iti,iti,DHP 277,unknown,"sabbe dhammā anattā <b>iti</b>, yadā paññāya passati, atha nibbindati dukkhe – esa maggo visuddhiyā","""All things are non-self."" When one sees [this] with wisdom, then one is disenchanted with suffering. This is the path for purification."
13539,itthatta 1,itthattaṃ,AN 4.171,unknown,sattā tamhā kāyā cutā āgāmino honti āgantāro <b>itthattaṃ</b>,"Living beings [who] have passed away from that group are returners, who come back to this existence."
14718,uttarichappañcavācā,uttarichappañcavācāhi,VIN PAT PC 7,unknown,"bhikkhu mātugāmassa <b>uttarichappañcavācāhi</b> dhammaṃ deseti, aññatra viññunā purisaviggahena, pācittiyaṃ.","[If any] monk expounds Dhamma to a woman by means of more than five or six sentences, except [together] with a knowledgeable male, [it is] an offence requiring confession."
15539,upaṭṭhāna 1,upaṭṭhānaṃ,SNP 16,unknown,"mātāpitu <b>upaṭṭhānaṃ</b>, puttassa ca dārassa saṅgaho","The looking after mother and father, the support of the wife and son."
16176,upasussati,upasussatu,SN 12.22,unknown,"taco ca nahāru ca aṭṭhi ca avasissatu, sarīre <b>upasussatu</b> maṃsalohitaṃ","Let [my] skin, sinew, and bone remain, let [my] flesh and blood dry up in [my] body."
16203,upassaya 1,upassayaṃ,SN 1.47 (simpl),unknown,"ye dadanti <b>upassayaṃ</b>, tesaṃ divā ca ratto ca, sadā puññaṃ pavaḍḍhati","Whoever gives a dwelling, merit increases for them all the time, day and night."
16446,upekkhaka,upekkhako,DN 22.18,unknown,upekkhako satimā sukhavihārī’ti,"""He who is equanimous [and] mindful lives at ease."""
17683,ekavihārī,ekavihārī,SN 21.10 (simpl),unknown,"sabbābhibhuṃ sabbaviduṃ sumedhaṃ, tam naraṃ <b>ekavihārī</b> iti ahaṃ brūmi","[One who is] all-conquering, all-knowing, wise, that man I call thus, “one who dwells alone.”"
17855,etad,etad,DN 16.7,unknown,atha kho āyasmato ānandassa <b>etad</b>’ahosi,"Then, this [thought] occurred to Venerable Ananda"
17868,etadavoca,etad’avoca,SN 1.1,unknown,sā devatā bhagavantaṃ <b>etad’avoca</b>,The deity said this to the Blessed One.
17869,etadahosi,etad’ahosi,DN 16.7,unknown,atha kho āyasmato ānandassa <b>etad’ahosi</b>,"Then, this [thought] occurred to Venerable Ananda"
18006,esa,esa,DN 11.6,unknown,<b>esa</b> bhagavato sāvakasaṅgho,This community of the Blessed One’s disciples is worthy of offerings.
18217,ehi tvaṃ,ehi tvaṃ,MN 107,gaṇakamoggallānasuttaṃ,<b>ehi tvaṃ</b> bhikkhu bhojane mattaññū hohi,"Come, monk, be moderate with regard to food!"
19594,kata 1,kataṃ,MN 152 (simpl),unknown,"satthārā karaṇīyaṃ sāvakānaṃ, <b>kataṃ</b> vo taṃ mayā.","What should be done by a teacher for (his) disciples, that has been done by me for you."
20466,karaṇīya 2,karaṇīyaṃ,MN 152 (simpl),unknown,"satthārā <b>karaṇīyaṃ</b> sāvakānaṃ, kataṃ vo taṃ mayā.","What should be done by a teacher for (his) disciples, that has been done by me for you."
20639,kalyāṇa 1,kalyāṇaṃ,VIN 1.2.12,unknown,“mā maṃ āyasmanto kiñci avacuttha <b>kalyāṇaṃ</b> vā pāpakaṃ vā”,"Venerables, don’t say anything to me, good or bad!"
20651,kalyāṇadhamma,kalyāṇadhammaṃ,VIN PAT SA 4 (simpl),unknown,mādisaṃ sīlavantaṃ <b>kalyāṇadhammaṃ</b> brahmacāriṃ paricara,"You must minister to one like me, observing the moral practices, of upright nature, one living the holy life."
21132,kāya 1.2,,,,,
