id,pali,selected_pali_word,class_source,class_sutta,class_example,english_translation,explanation
2603,attha 2.1,,,,,,
4036,anālaya 1,anālayo,SN 56.11,unknown,cāgo paṭinissaggo <b>anālayo</b>,"The relinquishing, the abandonment, the non-attachment",
4524,anuttara,anuttaro,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū <b>anuttaro</b> purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) ""He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.""",
6258,apara 1,apara,VIN 1.4.1.2,unknown,<b>Apara</b>ena samayena buddho,"on another occasion, the Awakened One…",
6463,aparena samayena 1,aparena samayena,VIN 1.4.1.2,unknown,<b>aparena samayena</b> buddho,"on another occasion, the Awakened One…",
8943,arahaṃ,arahaṃ,VIN 1.1.3,unknown,Itipi so bhagavā <b>arahaṃ</b> sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) “He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.”",
9175,alamariya,alamariya,AN 10.48,unknown,Uttarissa manussassa dhammo <b>alam'ariyo</b> ñāṇadassanassa viseso,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person",
9177,alamariyañāṇadassanavisesa,alam'ariyo ñāṇadassanassa viseso,AN 10.48,unknown,uttarissa manussassa dhammo <b>alam'ariyo ñāṇadassanassa viseso</b>,"the state of a superior human being, the attainment of knowing and seeing, suitable for a noble person",
9869,asesa,asesa-virāga,SN 10.8,unknown,"avijjāya tv'eva <b>asesa-virāga</b>-nirodhā saṅkhāra-nirodho, saṅkhāra-nirodhā viññāṇa-nirodho, viññāṇa-nirodhā nāmarūpa-nirodho, nāmarūpa-nirodhā saḷāyatana-nirodho, saḷāyatana-nirodhā phassa-nirodho, phassa-nirodhā vedanā-nirodho, vedanā-nirodhā taṇhā-nirodho, taṇhā-nirodhā upādāna-nirodho, upādāna-nirodhā bhava-nirodho, bhava-nirodhā jāti-nirodho, jāti-nirodhā jarā-maraṇaṃ soka-parideva-dukkha-domanass'upāyāsā nirujjhanti.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
10520,avijjā,avijjāya,SN 10.8,unknown,"But from the complete fading away and cessation of <b>avijjāya</b> there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.","But from the complete fading away and cessation of ignorance there is cessation of volitional formations; from the cessation of volitional formations, cessation of consciousness; from the cessation of consciousness, cessation of name-and-form; from the cessation of name-and-form, cessation of the six sense bases; from the cessation of the six sense bases, cessation of contact; from the cessation of contact, cessation of feeling; from the cessation of feeling, cessation of craving; from the cessation of craving, cessation of clinging; from the cessation of clinging, cessation of existence; from the cessation of existence, cessation of birth; from the cessation of birth, aging-and-death, sorrow, lamentation, pain, displeasure, and despair cease.",
11040,ākāsa 1.2,,,,,,
12812,āsava 1.2,,,,,,
13049,āvāsa 1,āvāse,MN 99,unknown,(entered) the rainy season at the <b>āvāse</b>.,(entered) the rainy season at the dwelling place.,
13479,itipi,itipi,VIN 1.1.3,unknown,Itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā’ti,"It is so (thus) 'He [is] the Blessed One, the Worthy One, the fully Enlightened One, endowed with wisdom and ethical conduct, the Fortunate One, knower of the world, incomparable leader of persons to be tamed, teacher of gods and humans, the Awakened One, the Blessed One.'",
